Name
北海道
青森県
岩手県
宮城県
秋田県
山形県
福島県
茨城県
栃木県
群馬県
埼玉県
千葉県
東京都
神奈川県
新潟県
富山県
石川県
福井県
山梨県
長野県
岐阜県
静岡県
愛知県
三重県
滋賀県
京都府
大阪府
兵庫県
奈良県
和歌山県
鳥取県
島根県
岡山県
広島県
山口県
徳島県
香川県
愛媛県
高知県
福岡県
佐賀県
長崎県
熊本県
大分県
宮崎県
鹿児島県
沖縄県
青森
岩手
宮城
秋田
山形
福島
茨城
栃木
群馬
埼玉
千葉
東京
神奈川
新潟
富山
石川
福井
山梨
長野
岐阜
静岡
愛知
三重
滋賀
京都
大阪
兵庫
奈良
和歌山
鳥取
島根
岡山
広島
山口
徳島
香川
愛媛
高知
福岡
佐賀
長崎
熊本
大分
宮崎
鹿児島
沖縄
札幌市
松前郡
久遠郡
島牧郡
積丹郡
古平郡
礼文郡
石狩郡
上磯郡
亀田郡
茅部郡
二海郡
山越郡
檜山郡
蘂取郡
爾志郡
奥尻郡
瀬棚郡
寿都郡
磯谷郡
虻田郡
岩内郡
古宇郡
余市郡
空知郡
夕張郡
樺戸郡
雨竜郡
上川郡
勇払郡
中川郡
増毛郡
留萌郡
苫前郡
天塩郡
宗谷郡
枝幸郡
利尻郡
網走郡
斜里郡
常呂郡
紋別郡
有珠郡
白老郡
沙流郡
新冠郡
浦河郡
様似郡
幌泉郡
日高郡
河東郡
河西郡
広尾郡
足寄郡
十勝郡
釧路郡
厚岸郡
川上郡
阿寒郡
白糠郡
野付郡
標津郡
目梨郡
色丹郡
国後郡
択捉郡
紗那郡
東津軽郡
西津軽郡
下北郡
三戸郡
中津軽郡
南津軽郡
北津軽郡
上北郡
下閉伊郡
九戸郡
岩手郡
紫波郡
和賀郡
胆沢郡
西磐井郡
気仙郡
上閉伊郡
二戸郡
仙台市
牡鹿郡
本吉郡
宮城郡
刈田郡
柴田郡
伊具郡
亘理郡
黒川郡
加美郡
遠田郡
鹿角郡
北秋田郡
山本郡
南秋田郡
仙北郡
雄勝郡
東村山郡
西村山郡
北村山郡
最上郡
東置賜郡
西置賜郡
東田川郡
飽海郡
伊達郡
安達郡
岩瀬郡
南会津郡
耶麻郡
河沼郡
大沼郡
西白河郡
東白川郡
石川郡
田村郡
双葉郡
相馬郡
東茨城郡
那珂郡
久慈郡
稲敷郡
結城郡
猿島郡
北相馬郡
河内郡
芳賀郡
下都賀郡
塩谷郡
那須郡
北群馬郡
多野郡
甘楽郡
吾妻郡
利根郡
佐波郡
邑楽郡
さいたま市
北足立郡
入間郡
比企郡
秩父郡
児玉郡
大里郡
南埼玉郡
北葛飾郡
千葉市
印旛郡
香取郡
山武郡
長生郡
夷隅郡
安房郡
西多摩郡
大島支庁
小笠原支庁
三宅支庁
八丈支庁
横浜市
川崎市
相模原市
三浦郡
高座郡
中郡
足柄上郡
足柄下郡
愛甲郡
新潟市
北蒲原郡
西蒲原郡
南蒲原郡
岩船郡
東蒲原郡
三島郡
南魚沼郡
中魚沼郡
刈羽郡
中新川郡
下新川郡
能美郡
河北郡
羽咋郡
鹿島郡
鳳珠郡
吉田郡
今立郡
南条郡
丹生郡
三方郡
大飯郡
三方上中郡
西八代郡
南巨摩郡
中巨摩郡
南都留郡
北都留郡
南佐久郡
北佐久郡
小県郡
諏訪郡
上伊那郡
下伊那郡
木曽郡
東筑摩郡
北安曇郡
埴科郡
上高井郡
下高井郡
上水内郡
下水内郡
羽島郡
養老郡
不破郡
安八郡
揖斐郡
本巣郡
加茂郡
可児郡
大野郡
静岡市
浜松市
賀茂郡
田方郡
駿東郡
榛原郡
周智郡
名古屋市
愛知郡
西春日井郡
丹羽郡
海部郡
知多郡
額田郡
北設楽郡
度会郡
北牟婁郡
桑名郡
員弁郡
三重郡
多気郡
南牟婁郡
蒲生郡
犬上郡
京都市
乙訓郡
久世郡
綴喜郡
相楽郡
船井郡
与謝郡
大阪市
堺市
豊能郡
泉北郡
泉南郡
南河内郡
神戸市
美方郡
川辺郡
多可郡
加古郡
神崎郡
揖保郡
赤穂郡
佐用郡
山辺郡
生駒郡
磯城郡
宇陀郡
高市郡
北葛城郡
吉野郡
東牟婁郡
西牟婁郡
海草郡
伊都郡
有田郡
岩美郡
八頭郡
東伯郡
西伯郡
日野郡
仁多郡
飯石郡
邑智郡
鹿足郡
隠岐郡
岡山市
和気郡
都窪郡
浅口郡
小田郡
真庭郡
苫田郡
勝田郡
英田郡
久米郡
加賀郡
広島市
安芸郡
山県郡
豊田郡
世羅郡
神石郡
阿武郡
大島郡
玖珂郡
熊毛郡
勝浦郡
名東郡
名西郡
那賀郡
板野郡
美馬郡
三好郡
小豆郡
木田郡
香川郡
綾歌郡
仲多度郡
越智郡
上浮穴郡
伊予郡
喜多郡
西宇和郡
南宇和郡
北宇和郡
幡多郡
長岡郡
土佐郡
吾川郡
高岡郡
北九州市
福岡市
糟屋郡
遠賀郡
鞍手郡
嘉穂郡
朝倉郡
三井郡
三潴郡
八女郡
田川郡
京都郡
築上郡
神埼郡
三養基郡
東松浦郡
西松浦郡
杵島郡
藤津郡
南松浦郡
西彼杵郡
東彼杵郡
北松浦郡
熊本市
下益城郡
玉名郡
菊池郡
阿蘇郡
上益城郡
八代郡
葦北郡
球磨郡
天草郡
東国東郡
速見郡
玖珠郡
東臼杵郡
北諸県郡
西諸県郡
東諸県郡
児湯郡
西臼杵郡
鹿児島郡
肝属郡
出水郡
姶良郡
曽於郡
薩摩郡
八重山郡
島尻郡
国頭郡
中頭郡
宮古郡
札幌
松前
久遠
島牧
積丹
古平
礼文
石狩
上磯
亀田
茅部
二海
山越
檜山
蘂取
爾志
奥尻
瀬棚
寿都
磯谷
虻田
岩内
古宇
空知
夕張
樺戸
雨竜
上川
勇払
中川
増毛
留萌
苫前
天塩
宗谷
枝幸
利尻
網走
斜里
常呂
紋別
有珠
白老
沙流
新冠
浦河
様似
幌泉
日高
河東
河西
広尾
足寄
十勝
釧路
厚岸
川上
阿寒
白糠
野付
標津
目梨
色丹
国後
択捉
紗那
東津軽
西津軽
下北
三戸
中津軽
南津軽
北津軽
上北
下閉伊
九戸
紫波
和賀
胆沢
西磐井
気仙
上閉伊
二戸
仙台
牡鹿
本吉
刈田
柴田
伊具
亘理
黒川
加美
遠田
鹿角
北秋田
山本
南秋田
仙北
雄勝
東村山
西村山
北村山
最上
東置賜
西置賜
東田川
飽海
伊達
安達
岩瀬
南会津
耶麻
河沼
大沼
西白河
東白川
田村
双葉
相馬
東茨城
那珂
久慈
稲敷
結城
猿島
北相馬
河内
